"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:17:17,9161491","AdwereCleaner.exe","3984","ReadFile","C:","SUCCESS","Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:17,9168095","AdwereCleaner.exe","3984","CreateFile","C:\Windows\Prefetch\ADWERECLEANER.EXE-1CA570B8.pf","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a"
"15:17:17,9176552","AdwereCleaner.exe","3984","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9178981","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9179893","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\System32\wow64.dll","SUCCESS","CreationTime: 30/07/2024 11:53:58, LastAccessTime: 30/07/2024 11:53:58, LastWriteTime: 21/02/2019 06:07:27, ChangeTime: 30/07/2024 11:55:32, FileAttributes: A"
"15:17:17,9179995","AdwereCleaner.exe","3984","CloseFile","C:\Windows\System32\wow64.dll","SUCCESS",""
"15:17:17,9181628","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9183441","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\System32\wow64.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:17,9183778","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\System32\wow64.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:17,9184735","AdwereCleaner.exe","3984","CloseFile","C:\Windows\System32\wow64.dll","SUCCESS",""
"15:17:17,9186968","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64win.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9187733","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\System32\wow64win.dll","SUCCESS","CreationTime: 30/07/2024 11:53:55, LastAccessTime: 30/07/2024 11:53:55, LastWriteTime: 21/02/2019 06:07:27, ChangeTime: 30/07/2024 11:55:32, FileAttributes: A"
"15:17:17,9187814","AdwereCleaner.exe","3984","CloseFile","C:\Windows\System32\wow64win.dll","SUCCESS",""
"15:17:17,9188637","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64win.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9189595","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\System32\wow64win.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:17,9189979","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\System32\wow64win.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:17,9190921","AdwereCleaner.exe","3984","CloseFile","C:\Windows\System32\wow64win.dll","SUCCESS",""
"15:17:17,9192707","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9193419","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","CreationTime: 30/07/2024 11:53:58, LastAccessTime: 30/07/2024 11:53:58, LastWriteTime: 21/02/2019 06:07:27, ChangeTime: 30/07/2024 11:55:32, FileAttributes: A"
"15:17:17,9193498","AdwereCleaner.exe","3984","CloseFile","C:\Windows\System32\wow64cpu.dll","SUCCESS",""
"15:17:17,9194313","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9195041","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\System32\wow64cpu.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:17,9195338","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\System32\wow64cpu.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:17,9196132","AdwereCleaner.exe","3984","CloseFile","C:\Windows\System32\wow64cpu.dll","SUCCESS",""
"15:17:17,9198480","AdwereCleaner.exe","3984","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
