"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:17:17,8910116","AdwereCleaner.exe","3984","Process Start","","SUCCESS","Parent PID: 1588, Command line: ""C:\Users\user\Desktop\malware1\S10L2\AdwereCleaner.exe"" , Current directory: C:\Users\user\Desktop\malware1\S10L2\, Environment: 
;	=::=::\
;	ALLUSERSPROFILE=C:\ProgramData
;	APPDATA=C:\Users\user\AppData\Roaming
;	CommonProgramFiles=C:\Program Files\Common Files
;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files
;	CommonProgramW6432=C:\Program Files\Common Files
;	COMPUTERNAME=USER-PC
;	ComSpec=C:\Windows\system32\cmd.exe
;	FP_NO_HOST_CHECK=NO
;	HOMEDRIVE=C:
;	HOMEPATH=\Users\user
;	LOCALAPPDATA=C:\Users\user\AppData\Local
;	LOGONSERVER=\\USER-PC
;	NUMBER_OF_PROCESSORS=1
;	OS=Windows_NT
;	Path=C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
;	PROCESSOR_ARCHITECTURE=AMD64
;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 190 Stepping 0, GenuineIntel
;	PROCESSOR_LEVEL=6
;	PROCESSOR_REVISION=be00
;	ProgramData=C:\ProgramData
;	ProgramFiles=C:\Program Files
;	ProgramFiles(x86)=C:\Program Files (x86)
;	ProgramW6432=C:\Program Files
;	PSModulePath=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
;	PUBLIC=C:\Users\Public
;	SESSIONNAME=Console
;	SystemDrive=C:
;	SystemRoot=C:\Windows
;	TEMP=C:\Users\user\AppData\Local\Temp
;	TMP=C:\Users\user\AppData\Local\Temp
;	USERDOMAIN=user-PC
;	USERNAME=user
;	USERPROFILE=C:\Users\user
;	windir=C:\Windows
;	windows_tracing_flags=3
;	windows_tracing_logfile=C:\BVTBin\Tests\installpackage\csilogfile.log"
"15:17:17,8910186","AdwereCleaner.exe","3984","Thread Create","","SUCCESS","Thread ID: 3168"
"15:17:17,9156962","AdwereCleaner.exe","3984","Load Image","C:\Users\user\Desktop\malware1\S10L2\AdwereCleaner.exe","SUCCESS","Image Base: 0x400000, Image Size: 0x43000"
"15:17:17,9160398","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x77ae0000, Image Size: 0x19f000"
"15:17:17,9160979","AdwereCleaner.exe","3984","Load Image","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Image Base: 0x77ca0000, Image Size: 0x180000"
"15:17:17,9184527","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x74290000, Image Size: 0x3f000"
"15:17:17,9190729","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x74230000, Image Size: 0x5c000"
"15:17:17,9196009","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x74220000, Image Size: 0x8000"
"15:17:17,9199347","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x779c0000, Image Size: 0x11f000"
"15:17:17,9200173","AdwereCleaner.exe","3984","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75c10000, Image Size: 0x110000"
"15:17:17,9201381","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x779c0000, Image Size: 0x11f000"
"15:17:17,9202063","AdwereCleaner.exe","3984","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x778c0000, Image Size: 0xfa000"
"15:17:17,9208401","AdwereCleaner.exe","3984","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75c10000, Image Size: 0x110000"
"15:17:17,9209897","AdwereCleaner.exe","3984","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x75a20000, Image Size: 0x47000"
